COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_FULLY_VACCINATED,PERSONS_FULLY_VACCINATED_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED
Afghanistan,AFG,EMRO,REPORTING,2022-02-14,5321308,4723416,13.669,12.134,4043580,10.387,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-02-22,4
Albania,ALB,EURO,REPORTING,2022-02-06,2646554,1267908,92,44.551,1165189,40.942,"AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2021-01-13,5
Algeria,DZA,AFRO,REPORTING,2022-02-08,13461201,7403900,30.698,16.884,6003539,13.691,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,SII - Covishield,Sinovac - CoronaVac",2021-01-30,4
American Samoa,ASM,WPRO,REPORTING,2022-01-28,82992,41820,150.356,75.765,36804,66.678,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2020-12-21,3
Andorra,AND,EURO,REPORTING,2022-01-23,140193,57709,181.4,75.756,53104,69.711,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2021-01-20,3
Angola,AGO,AFRO,REPORTING,2022-02-09,15505389,10241793,47.177,31.162,5088239,15.482,SII - Covishield,2021-03-10,1
Anguilla,AIA,AMRO,REPORTING,2022-02-11,21783,10218,145.201,68.111,9418,62.778,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty",2021-02-05,2
Antigua and Barbuda,ATG,AMRO,REPORTING,2022-02-11,124126,63381,126.751,64.721,60745,62.03,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-03-01,6
Argentina,ARG,AMRO,REPORTING,2022-02-11,90146945,40226884,199.459,89.006,35571217,78.705,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",2020-12-29,7
Armenia,ARM,EURO,REPORTING,2022-01-30,1894651,1045611,63.9,35.286,837694,28.27,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Sinovac - CoronaVac",2021-06-16,5
Aruba,ABW,AMRO,REPORTING,2022-02-11,166538,86671,155.984,81.178,79867,74.806,"Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty",2021-02-17,2
Australia,AUS,WPRO,REPORTING,2022-02-06,51152055,21813079,200.597,85.542,20287496,79.559,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax - Covavax,Pfizer BioNTech - Comirnaty",2021-02-21,5
Austria,AUT,EURO,REPORTING,2022-02-06,17686085,6770543,198.7,76.064,6498099,73.004,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2020-12-30,4
Azerbaijan,AZE,EURO,REPORTING,2022-02-06,11977903,5277554,118.1,52.051,4670607,46.065,"AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2021-01-20,4
Bahamas,BHS,AMRO,REPORTING,2022-02-11,323346,161646,82.225,41.106,152860,38.872,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-03-14,4
Bahrain,BHR,EMRO,REPORTING,2022-02-13,3375361,1227305,198.367,72.128,1197343,70.367,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",2020-11-04,8
Bangladesh,BGD,SEARO,REPORTING,2022-02-08,168458209,99647666,102.288,60.506,66560833,40.416,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2021-01-27,8
Barbados,BRB,AMRO,REPORTING,2022-02-11,307330,159275,106.944,55.424,148055,51.52,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-01-08,5
Belarus,BLR,EURO,REPORTING,2022-02-06,10199665,5387508,107.9,57.015,4372737,46.276,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac",2021-02-03,2
Belgium,BEL,EURO,REPORTING,2022-02-06,24286695,9165434,210.8,79.544,8915090,77.372,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2020-12-30,4
Belize,BLZ,AMRO,REPORTING,2022-02-11,453359,233554,114.016,58.737,205264,51.622,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-03-01,5
Benin,BEN,AFRO,REPORTING,2022-02-04,2391396,2269942,19.726,18.724,1767745,14.582,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2021-03-29,5
Bermuda,BMU,AMRO,REPORTING,2022-02-11,123082,46961,197.649,75.411,46041,73.934,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty",2021-01-11,2
Bhutan,BTN,SEARO,REPORTING,2022-02-06,1457542,594185,188.897,77.006,571194,74.026,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-03-27,5
Bolivia (Plurinational State of),BOL,AMRO,REPORTING,2022-02-11,12180886,6806843,104.351,58.313,5421242,46.442,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-01-30,6
Bonaire,XAA,AMRO,REPORTING,2022-02-11,33014,17366,157.848,83.031,15648,74.817,,,
"Bonaire, Sint Eustatius and Saba",BES,AMRO,REPORTING,2021-04-09,7391,5726,28.441,22.034,2965,11.41,"Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2021-02-22,2
Bosnia and Herzegovina,BIH,EURO,REPORTING,2022-01-29,1924950,943394,58.7,28.755,846080,25.789,"AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty, Sinovac - CoronaVac, Gamaleya - Sputnik V",,4
Botswana,BWA,AFRO,REPORTING,2022-02-09,1376754,1376754,58.545,58.545,1124733,47.828,"Bharat - Covaxin,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2021-03-26,6
Brazil,BRA,AMRO,REPORTING,2022-02-11,368300000,168600000,173.269,79.319,153900000,72.403,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2021-01-17,5
British Virgin Islands,VGB,AMRO,REPORTING,2022-02-11,36384,18786,120.329,62.129,17236,57.003,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S",2021-02-11,2
Brunei Darussalam,BRN,WPRO,REPORTING,2022-01-28,979285,407042,223.847,93.043,403385,92.207,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2021-04-03,5
Bulgaria,BGR,EURO,REPORTING,2022-02-06,4231248,2062600,60.9,29.671,2032960,29.245,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2020-12-30,4
Burkina Faso,BFA,AFRO,REPORTING,2022-01-13,1259250,1169097,6.024,5.593,771895,3.693,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,SII - Covishield",2021-06-02,3
Burundi,BDI,AFRO,REPORTING,2022-02-09,10146,8452,0.085,0.071,8001,0.067,Beijing CNBG - BBIBP-CorV,2021-10-18,1
Cabo Verde,CPV,AFRO,REPORTING,2022-02-11,683359,346572,122.909,62.335,291201,52.376,"Beijing CNBG - BBIBP-CorV,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-03-18,4
Cambodia,KHM,WPRO,REPORTING,2022-02-06,33379502,14362676,199.651,85.906,13776018,82.398,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2021-02-10,7
Cameroon,CMR,AFRO,REPORTING,2022-01-14,1024333,837860,3.859,3.156,663317,2.499,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",2021-04-12,4
Canada,CAN,AMRO,REPORTING,2022-02-11,79079865,32280127,209.527,85.528,30357857,80.435,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",2020-12-14,5
Cayman Islands,CYM,AMRO,REPORTING,2022-02-11,138037,59441,210.038,90.446,57627,87.686,Pfizer BioNTech - Comirnaty,2021-01-15,1
Central African Republic,CAF,AFRO,REPORTING,2022-02-06,698869,619646,14.47,12.83,594847,12.316,"Bharat - Covaxin,SII - Covishield",2021-03-19,2
Chad,TCD,AFRO,REPORTING,2022-02-04,398464,267953,2.426,1.631,138854,0.845,Beijing CNBG - BBIBP-CorV,2021-06-04,1
Chile,CHL,AMRO,REPORTING,2022-02-11,47310787,17687927,247.491,92.528,17066600,89.278,"AstraZeneca - Vaxzevria,CanSino - Convidecia,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2020-12-21,4
China,CHN,WPRO,REPORTING,2022-02-05,3016698519,1275813554,205.038,86.714,1235247554,83.957,"Anhui ZL - Recombinant,Beijing CNBG - BBIBP-CorV,CanSino - Convidecia,IMB - Covidful,Pfizer BioNTech - Comirnaty,Shenzhen - LV-SMENP-DC,Sinovac - CoronaVac,Wuhan CNBG - Inactivated",2020-07-22,8
Colombia,COL,AMRO,REPORTING,2022-02-11,74043064,40788751,145.517,80.162,32503403,63.879,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",2021-02-17,5
Comoros,COM,AFRO,REPORTING,2022-02-14,637961,341102,73.362,39.225,296859,34.137,"Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,SII - Covishield",2021-04-10,3
Congo,COG,AFRO,REPORTING,2021-12-28,758891,622886,13.753,11.288,583609,10.576,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,SII - Covishield",2021-03-23,4
Cook Islands,COK,WPRO,REPORTING,2022-02-06,26813,14162,152.659,80.631,12651,72.028,Pfizer BioNTech - Comirnaty,2021-05-17,1
Costa Rica,CRI,AMRO,REPORTING,2022-02-11,8418258,4089508,165.254,80.279,3713796,72.904,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty",2020-12-24,2
